service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
T52@5,0,0,0,0,0,0,0,20160819,20161119
T9@1,1,1,1,1,1,0,0,20160819,20161119
A14@1,1,1,1,1,1,0,0,20160819,20161119
244@3,0,0,0,0,0,0,1,20160819,20161119
2441@1,1,1,1,1,1,0,0,20160819,20161119
TR62@1,1,1,1,1,1,0,0,20160819,20161119
A19@2,0,0,0,0,0,1,0,20160819,20161119
A19@5,0,0,0,0,0,0,0,20160819,20161119
1715@1,1,1,1,1,1,0,0,20160819,20161119
176@3,0,0,0,0,0,0,1,20160819,20161119
C80@3,0,0,0,0,0,0,1,20160819,20161119
282@3,0,0,0,0,0,0,1,20160819,20161119
2821@1,1,1,1,1,1,0,0,20160819,20161119
1841@1,1,1,1,1,1,0,0,20160819,20161119
186@2,0,0,0,0,0,1,0,20160819,20161119
186@5,0,0,0,0,0,0,0,20160819,20161119
188@3,0,0,0,0,0,0,1,20160819,20161119
20.61@1,1,1,1,1,1,0,0,20160819,20161119
A10@2,0,0,0,0,0,1,0,20160819,20161119
A10@5,0,0,0,0,0,0,0,20160819,20161119
211@3,0,0,0,0,0,0,1,20160819,20161119
1111@2,0,0,0,0,0,1,0,20160819,20161119
A11@2,0,0,0,0,0,1,0,20160819,20161119
A11@5,0,0,0,0,0,0,0,20160819,20161119
255@2,0,0,0,0,0,1,0,20160819,20161119
260@2,0,0,0,0,0,1,0,20160819,20161119
2601@2,0,0,0,0,0,1,0,20160819,20161119
2601@5,0,0,0,0,0,0,0,20160819,20161119
2701@3,0,0,0,0,0,0,1,20160819,20161119
R68@1,1,1,1,1,1,0,0,20160819,20161119
2682@3,0,0,0,0,0,0,1,20160819,20161119
2685@1,1,1,1,1,1,0,0,20160819,20161119
2681@1,1,1,1,1,1,0,0,20160819,20161119
340@1,1,1,1,1,1,0,0,20160819,20161119
347@1,1,1,1,1,1,0,0,20160819,20161119
A360@3,0,0,0,0,0,0,1,20160819,20161119
A321@5,0,0,0,0,0,0,0,20160819,20161119
398@3,0,0,0,0,0,0,1,20160819,20161119
3981@1,1,1,1,1,1,0,0,20160819,20161119
M98@1,1,1,1,1,1,0,0,20160819,20161119
A993@2,0,0,0,0,0,1,0,20160819,20161119
3984@2,0,0,0,0,0,1,0,20160819,20161119
3984@5,0,0,0,0,0,0,0,20160819,20161119
40.5@1,1,1,1,1,1,0,0,20160819,20161119
40.51@1,1,1,1,1,1,0,0,20160819,20161119
4302@3,0,0,0,0,0,0,1,20160819,20161119
436@3,0,0,0,0,0,0,1,20160819,20161119
4934@5,0,0,0,0,0,0,0,20160819,20161119
613@3,0,0,0,0,0,0,1,20160819,20161119
520@5,0,0,0,0,0,0,0,20160819,20161119
D73@2,0,0,0,0,0,1,0,20160819,20161119
627@2,0,0,0,0,0,1,0,20160819,20161119
627@5,0,0,0,0,0,0,0,20160819,20161119
727@2,0,0,0,0,0,1,0,20160819,20161119
827@1,1,1,1,1,1,0,0,20160819,20161119
6612@1,1,1,1,1,1,0,0,20160819,20161119
654@1,1,1,1,1,1,0,0,20160819,20161119
656@3,0,0,0,0,0,0,1,20160819,20161119
A62@2,0,0,0,0,0,1,0,20160819,20161119
A62@5,0,0,0,0,0,0,0,20160819,20161119
7621@1,1,1,1,1,1,0,0,20160819,20161119
661@1,1,1,1,1,1,0,0,20160819,20161119
7612@2,0,0,0,0,0,1,0,20160819,20161119
B02@1,1,1,1,1,1,0,0,20160819,20161119
8612@2,0,0,0,0,0,1,0,20160819,20161119
761@1,1,1,1,1,1,0,0,20160819,20161119
701@1,1,1,1,1,1,0,0,20160819,20161119
715@1,1,1,1,1,1,0,0,20160819,20161119
718@1,1,1,1,1,1,0,0,20160819,20161119
